Nama_Kab_Kota;2015;2017;2018;2020;;;;
Bogor;34143;33645;42089;35277;;;;
Sukabumi;25223;16342;28036;20694;;;;
Cianjur;28760;17337;24909;18352;;;;
Bandung;46332;25565;32542;28546;;;;
Garut;2891;22751;28246;22280;;;;
Tasikmalaya;37692;12063;33687;16690;;;;
Ciamis;2796;12905;12176;11267;;;;
Kuningan;24365;8634;10655;9620;;;;
Cirebon;19573;20079;24714;20605;;;;
Majalengka;19713;10287;12312;15004;;;;
Sumedang;84008;7240;11467;10434;;;;
Indramayu;14025;19269;21682;16905;;;;
Subang;26697;11255;15517;12209;;;;
Purwakarta;31307;7032;9522;7050;;;;
Karawang;9225;14882;19585;15449;;;;
Bekasi;10043;16683;20085;14774;;;;
Bandung Barat;8673;10202;14377;41317;;;;
Pangandaran;-;2447;4378;3934;;;;
Kota Bogor;32889;5511;7622;6918;;;;
Kota Sukabumi;2046;1631;2853;2535;;;;
Kota Bandung;18286;14713;18475;18921;;;;
Kota Cirebon;6046;1888;2773;2618;;;;
Kota Bekasi;12427;13828;17461;15233;;;;
Kota Depok;18068;8364;11384;11235;;;;
Kota Cimahi;20357;3247;3902;3794;;;;
Kota Tasikmalaya;18797;4069;5938;5924;;;;
Kota Banjar;4133;1336;1997;1800;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
