id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;status_kawin;jumlah_penduduk;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;BELUM KAWIN;1367134;JIWA;2013
2;32;JAWA BARAT;3201;KABUPATEN BOGOR;KAWIN;2230128;JIWA;2013
3;32;JAWA BARAT;3201;KABUPATEN BOGOR;CERAI HIDUP;61155;JIWA;2013
4;32;JAWA BARAT;3201;KABUPATEN BOGOR;CERAI MATI;99447;JIWA;2013
5;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;BELUM KAWIN;945917;JIWA;2013
6;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;KAWIN;1349200;JIWA;2013
7;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;CERAI HIDUP;55780;JIWA;2013
8;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;CERAI MATI;79143;JIWA;2013
9;32;JAWA BARAT;3203;KABUPATEN CIANJUR;BELUM KAWIN;862205;JIWA;2013
10;32;JAWA BARAT;3203;KABUPATEN CIANJUR;KAWIN;1230211;JIWA;2013
11;32;JAWA BARAT;3203;KABUPATEN CIANJUR;CERAI HIDUP;51948;JIWA;2013
12;32;JAWA BARAT;3203;KABUPATEN CIANJUR;CERAI MATI;65796;JIWA;2013
13;32;JAWA BARAT;3204;KABUPATEN BANDUNG;BELUM KAWIN;1593596;JIWA;2013
14;32;JAWA BARAT;3204;KABUPATEN BANDUNG;KAWIN;1754113;JIWA;2013
15;32;JAWA BARAT;3204;KABUPATEN BANDUNG;CERAI HIDUP;58085;JIWA;2013
16;32;JAWA BARAT;3204;KABUPATEN BANDUNG;CERAI MATI;70626;JIWA;2013
17;32;JAWA BARAT;3205;KABUPATEN GARUT;BELUM KAWIN;913724;JIWA;2013
18;32;JAWA BARAT;3205;KABUPATEN GARUT;KAWIN;1173130;JIWA;2013
19;32;JAWA BARAT;3205;KABUPATEN GARUT;CERAI HIDUP;28264;JIWA;2013
20;32;JAWA BARAT;3205;KABUPATEN GARUT;CERAI MATI;62229;JIWA;2013
21;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;BELUM KAWIN;602567;JIWA;2013
22;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;KAWIN;945613;JIWA;2013
23;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;CERAI HIDUP;40739;JIWA;2013
24;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;CERAI MATI;48594;JIWA;2013
25;32;JAWA BARAT;3207;KABUPATEN CIAMIS;BELUM KAWIN;601675;JIWA;2013
26;32;JAWA BARAT;3207;KABUPATEN CIAMIS;KAWIN;897199;JIWA;2013
