id,kode_provinsi,nama_provinsi,kategori_kelompok_umur,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,0-4,242,JIWA,2013
2,32,JAWA BARAT,5-9,1149,JIWA,2013
3,32,JAWA BARAT,10-14,2302,JIWA,2013
4,32,JAWA BARAT,15-19,122697,JIWA,2013
5,32,JAWA BARAT,20-24,1040830,JIWA,2013
6,32,JAWA BARAT,25-29,2316100,JIWA,2013
7,32,JAWA BARAT,30-34,3447620,JIWA,2013
8,32,JAWA BARAT,35-39,3444990,JIWA,2013
9,32,JAWA BARAT,40-44,3301360,JIWA,2013
10,32,JAWA BARAT,45-49,2703850,JIWA,2013
11,32,JAWA BARAT,50-54,2212990,JIWA,2013
12,32,JAWA BARAT,55-59,1627180,JIWA,2013
13,32,JAWA BARAT,60-64,1112950,JIWA,2013
14,32,JAWA BARAT,65-69,655005,JIWA,2013
15,32,JAWA BARAT,70-74,463693,JIWA,2013
16,32,JAWA BARAT,> 75,379550,JIWA,2013
17,32,JAWA BARAT,0-4,0,JIWA,2014
18,32,JAWA BARAT,5-9,0,JIWA,2014
19,32,JAWA BARAT,10-14,58,JIWA,2014
20,32,JAWA BARAT,15-19,14934,JIWA,2014
21,32,JAWA BARAT,20-24,266602,JIWA,2014
22,32,JAWA BARAT,25-29,852258,JIWA,2014
23,32,JAWA BARAT,30-34,1511350,JIWA,2014
24,32,JAWA BARAT,35-39,1658570,JIWA,2014
25,32,JAWA BARAT,40-44,1655560,JIWA,2014
26,32,JAWA BARAT,45-49,1469820,JIWA,2014
27,32,JAWA BARAT,50-54,1237560,JIWA,2014
28,32,JAWA BARAT,55-59,967548,JIWA,2014
29,32,JAWA BARAT,60-64,753462,JIWA,2014
30,32,JAWA BARAT,65-69,442319,JIWA,2014
31,32,JAWA BARAT,70-74,326758,JIWA,2014
32,32,JAWA BARAT,> 75,291792,JIWA,2014
33,32,JAWA BARAT,0-4,0,JIWA,2015
34,32,JAWA BARAT,5-9,0,JIWA,2015
35,32,JAWA BARAT,10-14,488,JIWA,2015
36,32,JAWA BARAT,15-19,75039,JIWA,2015
37,32,JAWA BARAT,20-24,861892,JIWA,2015
38,32,JAWA BARAT,25-29,1989560,JIWA,2015
39,32,JAWA BARAT,30-34,2981930,JIWA,2015
40,32,JAWA BARAT,35-39,3148420,JIWA,2015
41,32,JAWA BARAT,40-44,3000700,JIWA,2015
42,32,JAWA BARAT,45-49,2611970,JIWA,2015
43,32,JAWA BARAT,50-54,2115940,JIWA,2015
44,32,JAWA BARAT,55-59,1689840,JIWA,2015
45,32,JAWA BARAT,60-64,1111730,JIWA,2015
46,32,JAWA BARAT,65-69,660671,JIWA,2015
47,32,JAWA BARAT,70-74,430114,JIWA,2015
48,32,JAWA BARAT,> 75,364917,JIWA,2015
49,32,JAWA BARAT,0-4,0,JIWA,2016
50,32,JAWA BARAT,5-9,303,JIWA,2016
51,32,JAWA BARAT,10-14,778,JIWA,2016
52,32,JAWA BARAT,15-19,96924,JIWA,2016
