id,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah,satuan,tahun
1,JAWA BARAT,3204,KABUPATEN BANDUNG,PRIA,342,ORANG,2017
2,JAWA BARAT,3204,KABUPATEN BANDUNG,WANITA,691,ORANG,2017
3,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PRIA,178,ORANG,2017
4,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,WANITA,442,ORANG,2017
5,JAWA BARAT,3216,KABUPATEN BEKASI,PRIA,380,ORANG,2017
6,JAWA BARAT,3216,KABUPATEN BEKASI,WANITA,949,ORANG,2017
7,JAWA BARAT,3201,KABUPATEN BOGOR,PRIA,101,ORANG,2017
8,JAWA BARAT,3201,KABUPATEN BOGOR,WANITA,432,ORANG,2017
9,JAWA BARAT,3207,KABUPATEN CIAMIS,PRIA,217,ORANG,2017
10,JAWA BARAT,3207,KABUPATEN CIAMIS,WANITA,542,ORANG,2017
11,JAWA BARAT,3203,KABUPATEN CIANJUR,PRIA,465,ORANG,2017
12,JAWA BARAT,3203,KABUPATEN CIANJUR,WANITA,756,ORANG,2017
13,JAWA BARAT,3209,KABUPATEN CIREBON,PRIA,286,ORANG,2017
14,JAWA BARAT,3209,KABUPATEN CIREBON,WANITA,513,ORANG,2017
15,JAWA BARAT,3205,KABUPATEN GARUT,PRIA,211,ORANG,2017
16,JAWA BARAT,3205,KABUPATEN GARUT,WANITA,876,ORANG,2017
17,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PRIA,414,ORANG,2017
18,JAWA BARAT,3212,KABUPATEN INDRAMAYU,WANITA,1035,ORANG,2017
19,JAWA BARAT,3215,KABUPATEN KARAWANG,PRIA,382,ORANG,2017
20,JAWA BARAT,3215,KABUPATEN KARAWANG,WANITA,954,ORANG,2017
21,JAWA BARAT,3208,KABUPATEN KUNINGAN,PRIA,205,ORANG,2017
22,JAWA BARAT,3208,KABUPATEN KUNINGAN,WANITA,512,ORANG,2017
23,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PRIA,233,ORANG,2017
24,JAWA BARAT,3210,KABUPATEN MAJALENGKA,WANITA,582,ORANG,2017
25,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PRIA,81,ORANG,2017
26,JAWA BARAT,3218,KABUPATEN PANGANDARAN,WANITA,204,ORANG,2017
27,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PRIA,168,ORANG,2017
28,JAWA BARAT,3214,KABUPATEN PURWAKARTA,WANITA,421,ORANG,2017
29,JAWA BARAT,3213,KABUPATEN SUBANG,PRIA,315,ORANG,2017
30,JAWA BARAT,3213,KABUPATEN SUBANG,WANITA,788,ORANG,2017
31,JAWA BARAT,3202,KABUPATEN SUKABUMI,PRIA,342,ORANG,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,WANITA,812,ORANG,2017
33,JAWA BARAT,3211,KABUPATEN SUMEDANG,PRIA,221,ORANG,2017
34,JAWA BARAT,3211,KABUPATEN SUMEDANG,WANITA,552,ORANG,2017
35,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PRIA,347,ORANG,2017
36,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,WANITA,868,ORANG,2017
37,JAWA BARAT,3273,KOTA BANDUNG,PRIA,406,ORANG,2017
38,JAWA BARAT,3273,KOTA BANDUNG,WANITA,922,ORANG,2017
39,JAWA BARAT,3279,KOTA BANJAR,PRIA,37,ORANG,2017
40,JAWA BARAT,3279,KOTA BANJAR,WANITA,93,ORANG,2017
41,JAWA BARAT,3275,KOTA BEKASI,PRIA,55,ORANG,2017
42,JAWA BARAT,3275,KOTA BEKASI,WANITA,132,ORANG,2017
43,JAWA BARAT,3271,KOTA BOGOR,PRIA,46,ORANG,2017
44,JAWA BARAT,3271,KOTA BOGOR,WANITA,366,ORANG,2017
45,JAWA BARAT,3277,KOTA CIMAHI,PRIA,74,ORANG,2017
46,JAWA BARAT,3277,KOTA CIMAHI,WANITA,184,ORANG,2017
47,JAWA BARAT,3274,KOTA CIREBON,PRIA,67,ORANG,2017
48,JAWA BARAT,3274,KOTA CIREBON,WANITA,168,ORANG,2017
49,JAWA BARAT,3276,KOTA DEPOK,PRIA,34,ORANG,2017
50,JAWA BARAT,3276,KOTA DEPOK,WANITA,94,ORANG,2017
51,JAWA BARAT,3272,KOTA SUKABUMI,PRIA,57,ORANG,2017
52,JAWA BARAT,3272,KOTA SUKABUMI,WANITA,141,ORANG,2017
53,JAWA BARAT,3278,KOTA TASIKMALAYA,PRIA,56,ORANG,2017
54,JAWA BARAT,3278,KOTA TASIKMALAYA,WANITA,273,ORANG,2017
